0: other-sign
226: regulatory--no-motor-vehicles-except-motorcycles--g2
227: warning--narrow-bridge--g3
228: regulatory--no-heavy-goods-vehicles--g2
229: regulatory--stop--g10
230: regulatory--no-motor-vehicles-except-motorcycles--g1
231: complementary--distance--g3
232: information--limited-access-road--g1
233: warning--wild-animals--g1
234: warning--hairpin-curve-left--g3
235: information--bus-stop--g1
236: regulatory--maximum-speed-limit-120--g1
237: warning--double-reverse-curve-right--g1
238: regulatory--no-heavy-goods-vehicles--g5
239: warning--t-roads--g1
240: regulatory--passing-lane-ahead--g1
241: information--tram-bus-stop--g2
242: regulatory--roundabout--g2
243: regulatory--shared-path-bicycles-and-pedestrians--g1
244: regulatory--maximum-speed-limit-5--g1
245: information--telephone--g2
246: regulatory--left-turn-yield-on-green--g1
247: regulatory--dual-lanes-go-straight-on-right--g1
248: regulatory--dual-lanes-turn-left-or-straight--g1
249: regulatory--one-way-left--g2
250: regulatory--end-of-speed-limit-zone--g1
251: warning--pedestrians-crossing--g9
252: complementary--chevron-right--g4
253: complementary--chevron-left--g4
254: regulatory--pass-on-either-side--g1
255: regulatory--turn-right--g2
256: regulatory--bicycles-only--g3
257: regulatory--road-closed-to-vehicles--g1
258: warning--road-narrows-right--g1
259: warning--road-narrows--g2
260: warning--emergency-vehicles--g1
261: regulatory--no-left-turn--g3
262: warning--pedestrians-crossing--g5
263: information--end-of-motorway--g1
264: warning--traffic-merges-left--g1
265: complementary--obstacle-delineator--g1
266: warning--road-narrows-right--g2
267: information--bike-route--g1
268: warning--pedestrians-crossing--g1
269: complementary--maximum-speed-limit-75--g1
270: regulatory--no-heavy-goods-vehicles-or-buses--g1
271: regulatory--no-pedestrians--g3
272: regulatory--bicycles-only--g2
273: regulatory--maximum-speed-limit-15--g1
274: information--children--g1
275: warning--slippery-motorcycles--g1
276: regulatory--turn-left--g3
277: regulatory--give-way-to-oncoming-traffic--g1
278: regulatory--wrong-way--g1
279: warning--hairpin-curve-right--g1
280: warning--slippery-road-surface--g1
281: regulatory--turn-right--g3
282: warning--pedestrians-crossing--g12
283: regulatory--maximum-speed-limit-led-100--g1
284: warning--railroad-crossing-without-barriers--g4
285: regulatory--dual-lanes-turn-left-no-u-turn--g1
286: regulatory--maximum-speed-limit-25--g1
287: regulatory--end-of-maximum-speed-limit-70--g2
288: regulatory--mopeds-and-bicycles-only--g1
289: warning--t-roads--g2
290: warning--bicycles-crossing--g1
291: warning--bus-stop-ahead--g3
292: information--road-bump--g1
293: information--camp--g1
294: information--telephone--g1
295: complementary--maximum-speed-limit-55--g1
296: warning--traffic-signals--g2
297: information--minimum-speed-40--g1
298: information--dead-end--g1
299: information--living-street--g1
300: warning--road-narrows-left--g1
301: warning--junction-with-a-side-road-acute-right--g1
302: warning--pedestrian-stumble-train--g1
303: regulatory--maximum-speed-limit-110--g1
304: complementary--trucks--g1
305: warning--two-way-traffic--g1
306: regulatory--end-of-no-parking--g1
307: warning--other-danger--g3
308: warning--hairpin-curve-left--g1
309: regulatory--keep-right--g2
310: warning--added-lane-right--g1
311: complementary--go-right--g2
312: information--food--g2
313: regulatory--no-u-turn--g2
314: regulatory--maximum-speed-limit-led-60--g1
315: information--end-of-limited-access-road--g1
316: information--trailer-camping--g1
317: regulatory--no-buses--g3
318: regulatory--no-pedestrians-or-bicycles--g1
319: regulatory--maximum-speed-limit-45--g1
320: regulatory--no-mopeds-or-bicycles--g1
321: warning--playground--g1
322: regulatory--pass-on-either-side--g2
323: warning--railroad-crossing--g3
324: regulatory--stop-signals--g1
325: information--highway-interstate-route--g2
326: warning--railroad-crossing-with-barriers--g1
327: warning--kangaloo-crossing--g1
328: regulatory--no-bicycles--g1
329: regulatory--end-of-bicycles-only--g1
330: warning--accidental-area-unsure--g2
331: warning--uneven-roads-ahead--g1
332: complementary--maximum-speed-limit-40--g1
333: warning--railroad-intersection--g4
334: warning--roadworks--g2
335: warning--horizontal-alignment-right--g3
336: regulatory--no-stopping--g5
337: warning--loop-270-degree--g1
338: regulatory--no-motor-vehicles--g4
339: warning--wombat-crossing--g1
340: regulatory--stop-here-on-red-or-flashing-light--g1
341: warning--dual-lanes-right-turn-or-go-straight--g1
342: regulatory--no-overtaking-by-heavy-goods-vehicles--g1
343: warning--domestic-animals--g1
344: regulatory--no-hawkers--g1
345: information--end-of-living-street--g1
346: regulatory--no-overtaking--g4
347: regulatory--end-of-priority-road--g1
348: regulatory--maximum-speed-limit-45--g3
349: information--emergency-facility--g2
350: information--airport--g1
351: regulatory--dual-lanes-go-straight-on-left--g1
352: information--end-of-pedestrians-only--g2
353: warning--horizontal-alignment-right--g1
354: complementary--maximum-speed-limit-50--g1
355: regulatory--maximum-speed-limit-65--g2
356: warning--playground--g3
357: warning--falling-rocks-or-debris-right--g4
358: complementary--trucks-turn-right--g1
359: warning--domestic-animals--g3
360: warning--pass-left-or-right--g1
361: warning--shared-lane-motorcycles-bicycles--g1
362: regulatory--parking-restrictions--g2
363: warning--pedestrians-crossing--g11
364: regulatory--no-bicycles--g3
365: regulatory--minimum-safe-distance--g1
366: warning--roadworks--g4
367: regulatory--detour-left--g1
368: regulatory--stop--g2
369: warning--bicycles-crossing--g3
370: regulatory--maximum-speed-limit-led-80--g1
371: warning--roadworks--g6
372: warning--pedestrians-crossing--g10
373: regulatory--dual-path-pedestrians-and-bicycles--g1
374: information--gas-station--g1
375: information--lodging--g1
376: warning--traffic-merges-left--g2
377: regulatory--no-right-turn--g3
378: warning--offset-roads--g3
379: regulatory--truck-speed-limit-60--g1
380: regulatory--triple-lanes-turn-left-center-lane--g1
381: regulatory--do-not-stop-on-tracks--g1
382: information--parking--g45
383: regulatory--end-of-buses-only--g1
384: warning--dip--g2
385: information--dead-end-except-bicycles--g1
386: information--no-parking--g3
387: information--central-lane--g1
388: regulatory--no-turns--g1
389: warning--crossroads-with-priority-to-the-right--g1
390: regulatory--text-four-lines--g1
391: warning--equestrians-crossing--g2
392: information--stairs--g1
393: regulatory--end-of-maximum-speed-limit-30--g2
394: warning--hairpin-curve-right--g4
395: regulatory--dual-lanes-turn-right-or-straight--g1
396: warning--restricted-zone--g1
397: warning--railroad-crossing-with-barriers--g4
398: regulatory--turning-vehicles-yield-to-pedestrians--g1
399: regulatory--end-of-maximum-speed-limit-70--g1
400: regulatory--weight-limit-with-trucks--g1
